feature,mean_rank,rank_std,mean_importance,importance_std,top_20_frequency
variance_mean_lag1__rel,175.0,35.983329473521486,0.0020688132,0.00095531496,0.0
spectral_entropy_std_lag1__rel,175.4,37.58510343207798,0.0018414117,0.0010703953,0.0
spectral_entropy_max_lag1__rel,177.6,9.046546302318914,0.0020837307,0.0002784401,0.0
beta_relative_std_rolling_mean_5__rel,178.4,20.742227459942676,0.0019283823,0.00055390404,0.0
wavelet_energy_2_max_lag1__rel,178.8,34.94796131393075,0.0016456483,0.0011019829,0.0
beta_relative_std__rel,180.6,21.60185177247543,0.0019043044,0.000555799,0.0
delta_relative_max,181.0,27.23967694375247,0.0018026475,0.0007755709,0.0
beta_power_std_lag3__rel,181.0,16.443843832875572,0.0019602245,0.0003763164,0.0
spectral_entropy_mean_lag1,181.4,22.1142488002645,0.0018272406,0.0006538632,0.0
beta_relative_max_lag1__rel,183.0,24.108089928486663,0.00165637,0.00087046094,0.0
delta_relative_mean_lag3,188.4,15.717506163510802,0.001686642,0.0005376062,0.0
mean_mean_lag1__rel,190.2,13.731715115017497,0.0016895983,0.00044680404,0.0
line_length_mean_lag1__rel,190.6,8.138795979750322,0.001713473,0.00023326176,0.0
sample_entropy_max_lag3__rel,191.6,12.831211945876353,0.0015342857,0.0006154537,0.0
spectral_entropy_max_lag3__rel,197.2,29.875742668593194,0.0010164871,0.001089303,0.0
line_length_mean_lag3__rel,199.4,13.484806264830057,0.00121048,0.0007144486,0.0
ptp_mean_lag1__rel,206.2,12.639620247459968,0.00063108874,0.00073563796,0.0
